AF196835	9/15/99
AF202541	8/28/99
AF206518	9/14/99
AF260967	8/1/99
AF404753	8/1/00
AF404754	8/1/00
AF404755	8/1/00
AF404756	8/1/00
AF533540	9/15/01
AY289214	8/15/02
AY646354	8/1/02
AY712945	8/1/03
AY712946	8/1/03
AY712947	8/1/03
AY712948	8/1/03
AY795965	8/1/02
DQ005530	8/1/03
DQ080051	8/1/03
DQ080052	8/1/03
DQ080053	8/1/03
DQ080054	8/1/03
DQ080055	8/1/03
DQ080056	8/1/03
DQ080057	8/1/03
DQ080058	8/1/03
DQ080059	8/1/03
DQ080060	8/1/04
DQ080061	8/1/04
DQ080062	8/1/02
DQ080063	8/1/03
DQ080064	8/1/03
DQ080065	8/1/03
DQ080066	8/1/03
DQ080067	8/1/03
DQ080068	8/1/03
DQ080069	8/1/03
DQ080070	8/1/03
DQ080071	8/1/02
DQ080072	8/1/01
DQ164186	8/1/02
DQ164187	8/1/02
DQ164188	8/1/03
DQ164189	8/1/03
DQ164190	8/1/03
DQ164191	8/1/03
DQ164192	8/1/03
DQ164193	8/1/02
DQ164194	8/1/01
DQ164195	8/1/02
DQ164196	8/1/02
DQ164197	8/1/02
DQ164198	8/1/02
DQ164199	8/1/03
DQ164200	8/1/02
DQ164201	8/1/04
DQ164202	8/1/02
DQ164203	8/1/03
DQ164204	8/1/03
DQ164205	8/1/02
DQ164206	8/1/04
DQ176637	8/1/02
DQ431693	8/1/03
DQ431694	8/1/03
DQ431695	8/1/03
DQ431696	8/1/03
DQ431697	8/1/03
DQ431698	8/1/03
DQ431699	8/1/03
DQ431700	8/1/04
DQ431701	8/1/04
DQ431702	8/1/04
DQ431703	8/1/04
DQ431704	8/1/04
DQ431705	8/1/04
DQ431706	8/1/04
DQ431707	8/1/04
DQ431708	7/16/04
DQ431709	7/16/04
DQ431710	7/31/04
DQ431711	8/1/04
DQ431712	8/1/04
DQ666448	8/1/04
DQ666449	8/1/05
DQ666450	8/1/05
DQ666451	8/1/05
DQ666452	8/1/05
DQ983578	8/1/03
FJ151394	8/1/99
GQ507468	8/3/05
GQ507469	9/1/05
GQ507470	8/30/06
GQ507471	6/23/07
GQ507472	7/14/03
GQ507473	7/24/04
GQ507474	8/27/04
GQ507475	6/27/05
GQ507476	7/27/05
GQ507477	8/1/05
GQ507478	8/26/05
GQ507479	9/9/05
GQ507480	10/4/05
GQ507481	8/22/06
GQ507482	9/3/06
GQ507483	8/2/07
GQ507484	8/16/07
GU827998	8/1/02
GU827999	8/1/03
GU828000	8/1/03
GU828001	8/1/03
GU828002	8/1/03
GU828003	8/1/03
GU828004	8/1/03
HM488114	10/1/02
HM488115	8/22/05
HM488116	8/22/05
HM488117	8/22/05
HM488118	8/29/05
HM488119	9/6/05
HM488120	9/6/05
HM488121	9/25/05
HM488125	9/29/99
HM488126	9/25/99
HM488127	9/24/99
HM488128	9/27/99
HM488129	9/21/00
HM488130	9/18/00
HM488131	9/21/00
HM488132	9/20/00
HM488133	7/16/01
HM488134	9/6/01
HM488135	9/6/01
HM488136	9/7/01
HM488137	8/20/02
HM488138	8/18/03
HM488139	10/7/03
HM488140	8/12/03
HM488141	9/16/03
HM488142	7/12/04
HM488143	8/9/04
HM488144	8/17/04
HM488145	8/30/04
HM488146	8/30/04
HM488147	9/13/04
HM488148	10/4/04
HM488149	8/1/05
HM488150	9/6/05
HM488151	9/6/05
HM488152	8/16/05
HM488153	8/16/05
HM488154	8/16/05
HM488155	8/31/06
HM488156	9/13/06
HM488157	9/18/06
HM488158	7/31/06
HM488159	8/14/06
HM488160	9/25/06
HM488161	8/22/07
HM488162	9/4/07
HM488163	8/29/07
HM488164	8/30/07
HM488165	8/30/07
HM488166	9/10/08
HM488167	9/10/08
HM488168	9/10/08
HM488169	9/16/08
HM488170	9/16/08
HM488171	7/8/03
HM488172	8/11/03
HM488173	8/12/03
HM488174	8/12/03
HM488175	8/19/03
HM488176	8/20/03
HM488208	8/19/02
HM488209	8/14/03
HM488210	8/18/03
HM488212	8/19/03
HM488213	8/20/03
HM488214	8/20/03
HM488215	8/20/03
HM488216	8/20/03
HM488217	8/21/03
HM488218	8/25/03
HM488219	8/25/03
HM488220	8/25/03
HM488221	9/3/03
HM488222	9/9/03
HM488223	9/11/03
HM488224	9/11/03
HM488225	9/15/03
HM488226	9/15/03
HM488227	9/15/03
HM488228	9/15/03
HM488229	9/15/03
HM488230	9/16/03
HM488231	9/17/03
HM488232	9/17/03
HM488233	9/17/03
HM488234	9/17/03
HM488235	9/24/03
HM488236	10/15/03
HM756648	9/24/02
HM756649	9/5/06
HM756650	8/21/03
HM756651	8/25/03
HM756652	8/26/03
HM756653	8/26/03
HM756654	9/9/03
HM756656	9/17/03
HM756657	10/1/03
HM756658	10/7/03
HM756659	10/8/03
JF415914	8/1/05
JF415915	8/1/06
JF415916	8/1/06
JF415917	8/1/07
JF415918	8/1/07
JF415919	8/1/07
JF415920	8/1/07
JF415921	8/1/08
JF415922	8/1/09
JF415923	8/1/09
JF415924	8/1/09
JF415925	8/1/09
JF415926	8/1/09
JF415927	8/1/09
JF415928	8/1/09
JF415929	8/1/05
JF415930	8/1/06
JF703161	7/2/04
JF703162	7/15/03
JF703163	11/8/05
JF703164	8/1/03
JX015515	6/28/05
JX015516	8/14/07
JX015517	8/26/08
JX015518	9/9/08
JX015519	7/28/09
JX015520	8/11/09
JX015521	9/1/09
JX015522	8/17/10
JX015523	8/31/10
KC333374	8/26/11
KC333375	8/4/12
KC333376	6/14/12
KC333377	6/14/12
KC333378	6/28/12
KC333379	6/28/12
KC333380	6/29/12
KC333381	7/4/12
KC333382	7/6/12
KC333383	7/6/12
KC333384	7/11/12
KC333385	7/11/12
KC333386	7/18/12
KC333387	7/18/12
KC711057	5/30/12
KC711058	6/5/12
KC711059	10/9/12
KC736486	7/2/12
KC736487	7/2/12
KC736488	7/2/12
KC736489	7/2/12
KC736490	7/2/12
KC736491	7/3/12
KC736492	7/3/12
KC736493	7/3/12
KC736494	8/14/12
KC736495	8/16/12
KC736496	8/15/12
KC736497	8/20/12
KC736498	8/21/12
KC736499	8/21/12
KC736500	8/28/12
KC736501	8/29/12
KC736502	7/3/12
KF704147	8/1/10
KF704153	8/6/10
KF704158	8/9/10
KJ501233	9/19/01
KJ501234	9/26/01
KJ501235	9/26/01
KJ501236	9/14/09
KJ501237	8/8/08
KJ501238	8/11/08
KJ501239	8/15/08
KJ501240	10/2/08
KJ501241	8/21/09
KJ501242	9/7/10
KJ501244	9/19/01
KJ501246	9/25/01
KJ501247	9/25/01
KJ501248	9/27/01
KJ501249	10/3/01
KJ501250	8/24/09
KJ501251	9/11/09
KJ501253	4/25/08
KJ501254	8/21/08
KJ501255	8/27/08
KJ501256	8/27/09
KJ501257	9/1/02
KJ501259	1/3/08
KJ501260	7/30/08
KJ501264	9/13/01
KJ501267	9/7/05
KJ501268	10/31/01
KJ501269	10/25/01
KJ501274	9/20/01
KJ501275	9/14/01
KJ501276	8/23/02
KJ501277	8/22/01
KJ501282	9/27/01
KJ501283	10/5/01
KJ501286	9/27/02
KJ501288	9/18/01
KJ501289	10/2/01
KJ501293	10/2/03
KJ501297	8/18/03
KJ501306	9/27/02
KJ501307	8/1/02
KJ501308	9/13/10
KJ501322	9/10/02
KJ501323	7/31/03
KJ501324	8/29/03
KJ501326	8/6/03
KJ501327	8/6/03
KJ501329	8/5/03
KJ501330	8/25/05
KJ501331	9/12/02
KJ501335	8/19/05
KJ501336	9/7/01
KJ501341	8/1/05
KJ501342	9/15/05
KJ501343	9/4/01
KJ501346	2/10/03
KJ501348	9/9/03
KJ501349	7/31/03
KJ501350	8/6/03
KJ501354	9/25/03
KJ501361	10/5/01
KJ501362	10/1/01
KJ501363	9/14/01
KJ501372	10/9/03
KJ501374	11/6/01
KJ501376	9/17/02
KJ501377	8/23/01
KJ501378	9/20/01
KJ501379	9/27/01
KJ501381	7/30/03
KJ501382	8/29/03
KJ501385	8/5/04
KJ501386	7/27/07
KJ501395	10/4/01
KJ501397	8/23/02
KJ501440	7/30/08
KJ501441	10/1/08
KJ501442	5/19/10
KJ501443	10/19/01
KJ501453	10/5/01
KJ501454	10/5/01
KJ501455	9/14/01
KJ501459	8/1/03
KJ501461	9/1/05
KJ501462	9/12/02
KJ501465	8/24/01
KJ501466	9/20/02
KJ501467	9/27/02
KJ501468	9/27/01
KJ501469	8/15/03
KJ501470	8/5/03
KJ501471	8/12/05
KJ501473	9/27/01
KJ501474	9/27/02
KJ501479	9/4/02
KJ501480	9/13/01
KJ501485	7/18/06
KJ501486	9/17/01
KJ501488	7/23/03
KJ501493	10/2/01
KJ501494	9/18/01
KJ501496	10/10/01
KJ501499	10/2/03
KJ501500	12/22/09
KJ501504	8/13/03
KJ501506	9/30/03
KJ501507	8/30/01
KJ501509	11/9/01
KJ501512	10/2/01
KJ501515	10/31/01
KJ501516	9/20/01
KJ501518	7/27/07
KJ786935	8/22/12
KJ786936	8/17/12
KR348915	8/29/11
KR348916	8/18/08
KR348917	8/18/08
KR348918	3/10/11
KR348919	7/29/09
KR348920	3/8/09
KR348921	3/8/09
KR348922	8/18/09
KR348923	8/19/03
KR348924	8/19/03
KR348925	8/19/03
KR348926	12/6/08
KR348927	9/16/03
KR348928	10/7/07
KR348929	10/7/08
KR348930	1/9/09
KR348931	1/9/09
KR348932	9/18/07
KR348933	3/9/08
KR348934	9/18/07
KR348935	5/29/05
KR348936	9/25/08
KR348937	8/6/10
KR348938	2/15/11
KR348939	6/19/05
KR348940	8/6/10
KR348941	8/30/11
KR348942	8/30/11
KR348943	4/14/04
KR348944	9/14/10
KR348945	4/28/04
KR348946	7/24/08
KR348947	9/18/07
KR348948	8/16/04
KR348949	8/24/04
KR348950	5/22/08
KR348951	5/17/04
KR348952	10/18/07
KR348953	9/25/08
KR348954	11/8/10
KR348955	5/12/07
KR348956	12/8/10
KR348957	12/8/10
KR348958	2/9/11
KR348959	2/9/11
KR348960	2/9/11
KR348961	2/9/11
KR348962	2/9/11
KR348963	2/9/11
KR348964	10/25/11
KR348965	10/26/11
KR348966	10/28/11
KR348967	11/17/11
KR348968	7/22/08
KR348969	6/24/11
KR348970	7/22/08
KR348971	6/30/11
KR348972	6/7/11
KR348973	6/7/11
KR348974	3/8/04
KR348975	3/8/04
KR348976	7/18/11
KR348977	8/15/11
KR348978	6/27/08
KR348979	7/13/04
KR348980	1/9/11
KR348981	1/9/11
KR348982	1/9/11
KR348983	1/9/11
KR348984	1/9/11
KR348985	8/14/07
KR348986	8/14/07
KR348987	10/9/08
KR348988	12/9/08
KR348989	11/9/07
KR348990	9/13/07
KR348991	9/14/07
KR348992	9/22/06
KR348993	7/21/11
KR348994	8/24/05
KR348995	8/23/05
KR348996	8/10/04
KR348997	6/29/05
KR348998	6/27/08
KR348999	7/18/05
KR349000	7/25/08
KR349001	1/9/11
KR349002	1/9/11
KR349003	1/9/11
KR349004	1/9/11
KR349005	1/9/11
KR349006	1/9/11
KR349007	7/15/05
KR349008	7/15/05
KR349009	7/15/05
KR349010	7/26/05
KR349011	7/28/05
KR349012	7/28/05
KR349013	9/25/07
KR349014	8/26/08
KR349015	11/8/04
KR349016	8/13/04
KR349017	7/25/07
KR349018	7/26/07
KR349019	8/25/09
KR349020	2/9/11
KR349021	1/9/11
KR349022	2/9/11
KR349023	8/13/04
KR349024	8/19/03
KR349025	7/25/07
KR349026	9/13/11
KR868734	8/22/12
KT862843	9/8/10
KT862844	8/29/11
KX547164	9/8/06
KX547165	9/10/05
KX547166	10/28/03
KX547167	9/4/13
KX547168	9/27/12
KX547169	9/2/15
KX547170	9/23/03
KX547171	8/3/11
KX547172	9/2/09
KX547173	8/31/05
KX547174	7/16/13
KX547175	7/10/08
KX547176	8/12/03
KX547177	7/6/12
KX547178	8/13/03
KX547179	8/8/02
KX547180	9/7/06
KX547181	9/24/03
KX547182	9/11/02
KX547183	7/22/08
KX547184	8/28/13
KX547185	9/6/12
KX547186	7/8/08
KX547187	8/28/08
KX547188	8/15/03
KX547189	8/9/02
KX547190	7/12/13
KX547191	8/7/08
KX547192	8/24/11
KX547193	10/7/05
KX547194	9/21/02
KX547195	9/19/07
KX547196	9/17/13
KX547197	7/29/04
KX547198	8/28/12
KX547199	7/20/05
KX547200	8/16/12
KX547201	7/20/12
KX547202	9/26/04
KX547203	10/4/01
KX547204	9/12/02
KX547205	8/19/05
KX547206	8/7/15
KX547207	8/14/02
KX547208	7/2/07
KX547209	10/22/06
KX547210	8/17/01
KX547211	9/11/06
KX547212	9/30/03
KX547213	9/13/02
KX547214	9/10/09
KX547215	8/22/06
KX547216	9/16/11
KX547217	9/29/05
KX547218	8/14/03
KX547219	8/30/07
KX547220	8/18/11
KX547221	9/23/14
KX547222	7/6/12
KX547223	9/16/05
KX547224	9/8/06
KX547225	9/17/10
KX547226	7/25/07
KX547227	9/1/11
KX547228	9/10/02
KX547229	8/29/06
KX547230	9/20/02
KX547231	8/7/07
KX547232	8/30/04
KX547233	7/19/07
KX547234	7/3/12
KX547235	8/13/15
KX547236	9/15/11
KX547237	8/12/04
KX547238	8/21/02
KX547239	8/20/03
KX547240	9/3/08
KX547241	9/9/03
KX547242	8/3/10
KX547243	8/23/06
KX547244	10/2/03
KX547245	9/13/02
KX547246	9/6/02
KX547247	8/14/02
KX547248	9/26/03
KX547249	9/15/04
KX547250	8/3/06
KX547251	7/19/02
KX547252	9/13/02
KX547253	5/30/04
KX547254	7/17/13
KX547255	9/13/11
KX547256	8/10/04
KX547257	9/24/07
KX547258	7/12/06
KX547259	8/11/05
KX547260	8/10/06
KX547261	9/4/02
KX547262	7/20/05
KX547263	9/16/02
KX547264	8/16/04
KX547265	8/31/09
KX547266	8/9/02
KX547267	9/29/03
KX547268	8/9/06
KX547269	8/23/13
KX547270	8/23/06
KX547271	8/12/06
KX547272	8/7/01
KX547273	7/31/06
KX547274	9/5/13
KX547275	9/3/04
KX547276	7/18/11
KX547277	9/23/04
KX547278	9/17/12
KX547279	7/8/10
KX547280	9/10/12
KX547281	6/4/04
KX547282	9/7/04
KX547283	8/30/12
KX547284	8/15/08
KX547285	8/16/04
KX547286	9/3/15
KX547287	9/29/03
KX547288	7/27/03
KX547289	10/5/05
KX547290	8/13/07
KX547291	8/14/12
KX547292	9/16/09
KX547293	8/24/11
KX547294	9/30/10
KX547295	8/24/11
KX547296	5/11/04
KX547297	8/6/07
KX547298	8/3/04
KX547299	8/25/02
KX547300	8/17/09
KX547301	9/10/02
KX547302	8/4/04
KX547303	7/27/05
KX547304	9/2/04
KX547305	8/25/02
KX547306	9/2/09
KX547307	8/15/05
KX547308	9/30/04
KX547309	8/14/08
KX547310	8/26/03
KX547311	9/25/03
KX547312	5/20/04
KX547313	8/3/04
KX547314	9/27/02
KX547315	8/24/12
KX547316	9/13/01
KX547317	7/27/04
KX547318	8/19/06
KX547319	9/7/09
KX547320	9/17/02
KX547321	9/7/05
KX547322	8/19/03
KX547323	7/31/13
KX547324	8/14/13
KX547325	9/20/11
KX547326	8/1/07
KX547327	8/24/06
KX547328	7/3/13
KX547329	8/24/07
KX547330	9/18/13
KX547331	9/26/02
KX547332	8/8/05
KX547333	10/9/13
KX547334	6/18/12
KX547335	8/5/08
KX547336	9/9/02
KX547337	9/28/12
KX547338	9/9/05
KX547339	9/11/07
KX547340	8/16/12
KX547341	1/31/05
KX547342	8/10/06
KX547343	8/8/12
KX547344	7/24/13
KX547345	8/11/04
KX547346	6/18/04
KX547347	5/25/05
KX547348	8/14/09
KX547349	8/31/06
KX547350	7/28/06
KX547351	8/4/04
KX547352	8/14/08
KX547353	7/11/00
KX547354	10/3/03
KX547355	9/13/05
KX547356	8/7/12
KX547357	8/7/07
KX547358	9/20/13
KX547359	8/14/06
KX547360	9/11/05
KX547361	8/12/10
KX547362	8/31/05
KX547363	8/13/03
KX547364	9/13/02
KX547365	7/30/08
KX547366	8/10/05
KX547367	7/21/06
KX547368	8/28/09
KX547369	8/25/11
KX547370	8/30/05
KX547371	9/20/07
KX547372	8/13/09
KX547373	9/30/09
KX547374	8/23/02
KX547375	9/8/11
KX547376	9/16/10
KX547377	7/21/05
KX547378	9/11/02
KX547379	9/28/04
KX547380	7/11/12
KX547381	10/3/03
KX547382	8/24/07
KX547383	10/4/02
KX547384	8/7/06
KX547385	7/27/06
KX547386	7/21/00
KX547387	8/22/06
KX547388	8/26/10
KX547389	9/7/12
KX547390	8/29/04
KX547391	8/25/10
KX547392	8/8/07
KX547393	8/6/02
KX547394	8/1/06
KX547395	8/31/00
KX547396	9/16/05
KX547397	8/30/05
KX547398	8/23/02
KX547399	9/6/07
KX547400	8/30/06
KX547401	9/16/08
KX547402	9/18/02
KX547403	5/20/04
KX547404	8/18/08
KX547405	8/9/03
KX547406	9/25/09
KX547407	8/27/09
KX547408	9/13/04
KX547409	9/10/03
KX547410	7/30/12
KX547411	7/10/03
KX547412	8/30/11
KX547413	8/2/05
KX547414	9/10/02
KX547415	7/28/04
KX547416	8/4/11
KX547417	7/22/11
KX547418	8/16/12
KX547419	8/23/07
KX547420	7/28/06
KX547421	8/15/02
KX547422	10/3/03
KX547423	7/16/04
KX547424	7/10/07
KX547425	9/9/09
KX547426	8/8/07
KX547427	6/22/04
KX547428	9/26/02
KX547429	8/15/02
KX547430	8/18/09
KX547431	8/17/06
KX547432	8/10/06
KX547433	8/31/06
KX547434	9/11/09
KX547435	8/18/06
KX547436	9/8/08
KX547437	7/29/03
KX547438	8/10/11
KX547439	8/14/03
KX547440	8/19/08
KX547441	8/16/05
KX547442	8/31/10
KX547443	8/17/12
KX547444	8/6/02
KX547445	9/17/14
KX547446	6/7/04
KX547447	8/8/07
KX547448	8/29/02
KX547449	7/6/11
KX547450	8/5/15
KX547451	8/22/06
KX547452	8/14/07
KX547453	7/29/08
KX547454	8/3/04
KX547455	8/13/03
KX547456	7/31/12
KX547457	7/27/11
KX547458	9/22/03
KX547459	9/26/02
KX547460	8/6/13
KX547461	8/8/05
KX547462	6/29/04
KX547463	8/25/09
KX547464	9/16/09
KX547465	7/31/13
KX547466	8/19/03
KX547467	9/12/13
KX547468	8/11/03
KX547469	9/19/02
KX547470	8/9/07
KX547471	9/21/05
KX547472	8/31/06
KX547473	7/17/13
KX547474	10/11/02
KX547475	8/6/06
KX547476	8/7/08
KX547477	8/10/04
KX547478	9/8/01
KX547479	9/7/05
KX547480	9/22/03
KX547481	9/1/05
KX547482	8/7/13
KX547483	7/3/14
KX547484	10/1/02
KX547485	6/13/14
KX547486	9/13/05
KX547487	10/4/04
KX547488	9/15/11
KX547489	7/29/04
KX547490	9/6/02
KX547491	9/4/07
KX547492	9/26/02
KX547493	9/19/04
KX547494	9/12/10
KX547495	7/21/11
KX547496	7/25/07
KX547497	8/1/12
KX547498	9/9/09
KX547499	7/14/04
KX547500	8/23/07
KX547501	9/10/04
KX547502	9/13/06
KX547503	8/14/02
KX547504	9/19/08
KX547505	9/26/02
KX547506	8/21/02
KX547507	8/11/11
KX547508	9/5/05
KX547509	8/13/02
KX547510	9/14/07
KX547511	8/21/06
KX547512	8/22/05
KX547513	9/14/05
KX547514	9/12/13
KX547515	9/2/09
KX547516	8/22/07
KX547517	9/4/09
KX547518	8/31/09
KX547519	9/1/00
KX547520	9/11/12
KX547521	8/18/05
KX547522	8/10/09
KX547523	7/16/05
KX547524	8/21/13
KX547525	9/2/02
KX547526	9/5/03
KX547527	10/3/02
KX547528	8/24/07
KX547529	8/24/11
KX547530	9/30/05
KX547531	8/13/03
KX547532	8/1/05
KX547533	5/20/04
KX547534	9/29/04
KX547535	9/6/07
KX547536	6/1/04
KX547537	9/27/11
KX547538	8/15/01
KX547539	8/22/07
KX547540	9/27/12
KX547541	8/28/09
KX547542	6/7/04
KX547543	9/5/07
KX547544	8/26/09
KX547545	9/28/07
KX547546	9/19/06
KX547547	8/23/12
KX547548	9/2/14
KX547549	10/2/03
KX547550	9/4/03
KX547551	10/3/13
KX547552	9/16/10
KX547553	9/16/06
KX547554	9/12/02
KX547555	7/17/12
KX547556	9/6/12
KX547557	9/22/09
KX547558	9/4/08
KX547559	9/11/12
KX547560	9/17/05
KX547561	9/1/09
KX547562	7/27/10
KX547563	8/9/06
KX547564	8/19/02
KX547565	9/24/13
KX547566	7/24/02
KX547567	8/26/06
KX547568	8/20/10
KX547569	8/9/06
KX547570	9/2/05
KX547571	9/13/05
KX547572	7/6/10
KX547573	8/4/03
KX547574	7/10/12
KX547575	6/20/12
KX547576	10/7/11
KX547577	7/14/04
KX547578	10/18/05
KX547579	7/20/12
KX547580	8/13/08
KX547581	7/29/03
KX547582	7/2/10
KX547583	6/4/04
KX547584	9/6/02
KX547585	9/2/09
KX547586	9/19/02
KX547587	8/3/06
KX547588	8/27/04
KX547589	8/24/07
KX547590	9/9/04
KX547591	9/2/04
KX547592	8/22/03
KX547593	9/28/03
KX547594	7/31/13
KX547595	8/23/07
KX547596	8/11/05
KX547597	9/14/04
KX547598	9/3/09
KX547599	9/29/05
KX547600	9/13/10
KX547601	8/9/10
KX547602	9/1/00
KX547603	9/20/02
KX547604	8/28/13
KX547605	7/11/04
KX547606	8/1/08
KX547607	8/28/06
KX547608	8/25/09
KX547609	9/25/03
KX547610	8/10/04
KX547611	8/27/09
KX547612	8/21/12
KX547613	8/27/03
KX547614	7/6/05
KX547615	7/26/06
KX547616	9/20/07
KX547617	8/26/03
KX547618	9/25/03
KX547619	8/15/02
KX547620	8/29/02
KX547621	9/29/04
KY216149	6/20/12
KY216150	7/11/12
KY216151	7/17/12
KY216152	7/17/12
KY216153	7/25/12
KY216154	7/25/12
KY216155	7/31/12
KY229068	8/1/12
KY229069	8/7/12
KY229070	8/9/12
KY229071	8/7/12
KY229072	8/14/12
KY229073	8/21/12
KY229074	8/21/12
MF004388	9/29/08
MG004528	6/9/15
MG004529	6/26/14
MG004530	10/20/16
MG004531	5/11/16
MG004532	8/5/15
MG004533	6/3/14
MG004534	6/28/16
MG004535	7/22/14
MG004536	8/25/16
MG004537	8/28/14
MG004538	10/7/15
MG004539	6/10/14
MG004540	5/12/15
MG004541	4/26/17
W001	10/2/07
W002	10/2/07
W003	8/18/08
W004	5/13/09
W005	10/29/12
W006	7/10/13
W007	7/23/13
W008	10/7/14
W009	10/2/15
W010	8/15/16
W011	12/8/08
W012	10/28/14
W013	6/30/16
W014	10/31/14
W015	8/21/15
W017	3/19/07
W018	3/19/07
W019	10/2/07
W020	10/2/07
W021	10/25/07
W022	2/6/08
W026	5/14/08
W027	5/14/08
W028	6/11/08
W029	6/11/08
W030	6/25/08
W031	9/15/08
W032	6/25/08
W034	8/7/08
W035	9/18/08
W036	9/18/08
W037	9/18/08
W038	12/1/08
W039	12/8/08
W040	9/15/08
W041	9/18/08
W042	1/20/09
W043	12/8/08
W044	12/1/08
W045	3/23/09
W047	5/21/09
W048	12/22/08
W049	6/18/09
W050	9/15/09
W051	9/30/09
W055	8/1/13
W057	9/9/13
W058	11/1/13
W059	11/7/13
W061	8/6/14
W062	7/17/14
W063	8/13/14
W064	8/13/14
W065	9/25/14
W066	10/3/14
W067	10/3/14
W068	10/28/14
W069	11/7/14
W071	11/10/14
W072	11/17/14
W073	11/17/14
W074	12/18/14
W075	12/18/14
W076	4/16/15
W077	5/13/15
W080	7/10/15
W081	7/28/15
W082	8/14/15
W085	8/21/15
W086	8/28/15
W087	8/28/15
W088	8/28/15
W089	9/29/15
W090	10/2/15
W092	11/13/15
W093	8/11/16
W095	10/5/17
W097	10/19/17
W098	8/28/17
